ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.9748,1.9842,7.6286,-0.9929,3.9883,8.9038,-0.1634,-0.0259,-0.6935,-0.6332,-0.9256,0.487,623.4,0.51,-41.76,-22.74,176.93,-24,6.36,5,35.958073,-83.924515,,NaN,,254.49283,,0 / 1,6,2022-10-28 13:52:29:429,
0.0748,0.306,9.1992,-0.972,1.2692,9.6755,0.2766,0.3524,-0.6746,-0.7496,-0.629,-0.1888,623.4,-7.18,-35.1,-33.11,161.43,-7.44,5.74,5,35.958073,-83.924515,,NaN,,254.49283,,0 / 1,506,2022-10-28 13:52:29:929,
14.1515,-4.5377,0.9694,8.2992,-5.1238,1.0199,0.7585,2.3662,1.7065,1.9745,-4.3304,2.9593,731.3,-32.83,-10.12,-17.46,205.68,31.5,-82.99,5,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,1006,2022-10-28 13:52:30:429,
6.8856,-5.2774,-1.0175,8.621,-4.5474,-1.0813,-1.3582,-1.1778,1.1761,-0.5371,1.3177,-0.6502,95,-31.89,29.25,30.88,73.51,29.17,-98.13,5,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,1505,2022-10-28 13:52:30:928,
7.4946,-0.2157,-0.4101,9.4128,-1.9374,-1.9536,0.7838,-0.1903,-2.8502,-0.3085,0.7345,-0.5328,0,-30.54,9.53,35.12,85.09,11.39,-101.72,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,2006,2022-10-28 13:52:31:429,
10.9705,-0.9413,-6.8524,9.2421,-2.2655,-2.371,5.6933,-3.215,-2.6807,0.5776,-0.426,-0.139,0,-22.16,6.56,37.67,90.54,13.36,-104.39,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,2506,2022-10-28 13:52:31:929,
12.3275,-6.8198,-3.5656,7.6034,-5.7931,-2.1904,11.4141,-3.5824,2.9771,0.9,0.3596,-0.5277,0.8,-14.51,24.09,32.55,78.81,36.21,-106.07,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,3005,2022-10-28 13:52:32:428,
7.2562,-6.9616,0.7896,7.7586,-5.4799,-2.4381,-0.5552,-1.3997,3.2231,-0.0996,-0.3457,0.4268,1.3,0.69,43.71,24.98,35.55,32.15,-107.07,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,3506,2022-10-28 13:52:32:929,
8.071,-5.5582,0.8841,7.7101,-5.4629,-2.623,1.3147,1.5684,3.038,0.4583,-0.5868,-0.4207,0,9.99,57.62,29.33,32.45,33.85,-108.79,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,4005,2022-10-28 13:52:33:428,
7.5966,-4.0262,-2.3692,7.5317,-5.534,-2.9697,-0.3454,1.1497,0.4647,8.00E-04,-0.245,0.2334,0,10.8,66.94,19.78,21.68,34.35,-111.52,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,4506,2022-10-28 13:52:33:929,
5.4838,-4.2805,-2.2361,7.7031,-4.9949,-3.4471,-2.9956,0.9644,1.5865,0.1135,0.243,-0.2521,0,8.29,67.39,13.05,14.46,30.62,-114.11,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,5005,2022-10-28 13:52:34:428,
5.7344,-3.4998,-2.3871,8.1344,-4.8948,-2.4584,-2.4464,1.3577,0.1918,0.3828,0.2036,0.1659,0,-0.32,65.04,8.78,8.77,28.96,-107.81,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,5506,2022-10-28 13:52:34:929,
6.4899,-4.3409,-0.9443,7.8585,-5.0621,-2.9646,-0.6543,0.1329,-1.1503,-0.4728,-0.21,-0.178,0,-6.75,54.08,0.64,357.94,31.08,-110.67,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,6006,2022-10-28 13:52:35:429,
10.6155,-6.0724,-4.4082,8.2731,-4.8477,-2.0559,6.2656,-2.815,-0.4061,0.3312,0.7839,0.1775,0,-12.73,37.52,0.15,353.33,29.63,-103.96,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,6506,2022-10-28 13:52:35:929,
11.0704,-9.02,-5.6079,7.996,-5.244,-2.1758,4.2907,-3.3066,2.0872,0.6352,0.5198,0.1309,0,-9.86,26.79,4.71,7.39,32.33,-105.22,2,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,7006,2022-10-28 13:52:36:429,
11.0432,-7.5072,-0.2225,8.1158,-4.8541,-2.5965,2.9513,-2.7463,2.3256,0.5589,0.3789,0.2592,0,-8.83,24.71,7.95,14.63,28.2,-110.38,0,35.95832,-83.92443,820.25,NaN,0,23.290382,,0 / 17,7505,2022-10-28 13:52:36:928,
