sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6652;4.6092;8.5875;-0.8869;4.7002;8.5611;-0.2968;0.1158;0.3393;0.0111;0.362;0.7245;527.3;-50.36;12.51;-28.26;67.35;-29.98;6.95;5.0;35.958035;-83.924446;;NaN;;269.77515;;0 / 1;13;2022-09-09 16:25:52:223
-1.0337;4.3519;9.1669;-0.9573;4.5788;8.6191;-0.2377;0.1632;-0.0138;0.0524;0.1589;0.0473;892.4;-54.82;17.21;-30.81;64.36;-28.02;4.52;5.0;35.958313;-83.92441;801.33;NaN;0.0;31.321762;;0 / 18;511;2022-09-09 16:25:52:721
0.4385;5.6782;7.6717;0.3841;5.7535;7.9322;-0.3387;0.0514;-0.5679;-0.0137;0.4859;0.4736;892.4;-56.01;17.33;-27.81;61.16;-36.67;-0.56;5.0;35.958313;-83.92441;801.33;NaN;0.0;31.321762;;0 / 18;1010;2022-09-09 16:25:53:220
-0.5309;5.8508;6.4256;-0.19;6.4437;7.3901;-0.2415;-0.3732;0.2526;0.4391;-0.0283;0.0192;892.4;-58.48;15.45;-21.47;67.6;-41.08;1.47;5.0;35.958305;-83.924416;802.62;NaN;0.0;24.585688;;6 / 19;1511;2022-09-09 16:25:53:721
-0.4735;5.8232;9.3715;-0.1687;5.5312;8.0962;-0.7184;0.5972;0.2734;-0.6194;-0.5298;-0.2403;892.4;-57.9;14.72;-20.68;69.27;-38.45;3.75;5.0;35.958305;-83.924416;802.62;NaN;0.0;24.585688;;6 / 19;2010;2022-09-09 16:25:54:220
-0.0066;6.2276;7.8667;-0.449;5.9813;7.7584;-0.1127;-0.422;-0.3289;-0.1299;-0.3768;-0.1256;892.4;-55.78;12.69;-22.07;70.15;-37.6;4.82;5.0;35.958305;-83.924416;802.62;NaN;0.0;24.585688;;9 / 20;2510;2022-09-09 16:25:54:720
-0.8447;6.3332;7.3089;-0.616;6.1403;7.6215;-0.1973;0.0848;-0.6444;-0.1934;-0.0949;0.0327;992.1;-55.44;11.64;-20.03;71.35;-38.94;4.67;5.0;35.958305;-83.924416;802.62;NaN;0.0;24.585688;;9 / 20;3011;2022-09-09 16:25:55:221
-0.0906;3.6936;7.2802;-0.6781;5.1218;8.3353;-1.3441;0.2079;-1.1567;-0.4839;0.4197;0.7103;992.1;-54.73;13.48;-22.86;69.91;-31.49;4.65;5.0;35.958313;-83.92442;799.93;NaN;0.0;16.864265;;8 / 20;3511;2022-09-09 16:25:55:721
-0.7322;3.1478;7.7818;-0.8098;2.0179;9.5626;0.4388;0.609;-0.8454;0.1487;0.3299;0.1442;609.4;-52.18;24.83;-37.09;60.45;-11.87;4.84;5.0;35.958313;-83.92442;799.93;NaN;0.0;16.864265;;8 / 20;4011;2022-09-09 16:25:56:221
-2.9216;2.0584;9.9676;0.8204;1.1314;9.7066;0.6835;-0.8639;2.8533;-1.3472;-0.2175;-1.7409;609.4;-51.75;24.36;-38.21;56.96;-18.76;1.57;5.0;35.958313;-83.92443;801.13;NaN;0.0;15.534678;;6 / 21;4511;2022-09-09 16:25:56:721
