sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.5363;1.296;8.2367;-0.7343;2.0995;9.5511;1.0422;-0.9292;-1.1049;-0.3687;-0.5463;0.2676;169.0;-11.49;-60.49;-33.94;163.08;-14.98;7.05;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;5;2022-11-11 14:46:49:433
-0.9766;0.9631;8.458;-1.2566;1.0793;9.6657;0.7838;-0.2615;-1.7255;0.2991;0.2204;0.1074;122.9;-20.72;-54.3;-30.34;154.03;-6.32;7.41;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;504;2022-11-11 14:46:49:932
-1.515;1.4249;7.9807;-1.2268;1.5519;9.6051;-0.9407;-0.17;-1.1476;0.8742;-0.4907;-0.2785;104.9;-13.22;-54.41;-28.18;161.36;-6.03;8.98;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;1005;2022-11-11 14:46:50:433
-0.0476;2.811;8.0569;-0.6184;2.9989;9.3164;0.7306;-0.0462;-1.3375;-0.0658;0.2095;-0.017;104.9;-14.31;-65.46;-18.86;165.03;-16.87;3.81;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;1504;2022-11-11 14:46:50:932
-0.4687;3.0951;8.3288;0.0989;2.8802;9.3736;-0.8226;0.2781;-0.7183;-0.3131;0.0596;-0.28;72.0;-15.67;-65.29;-14.1;164.78;-16.75;-0.71;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;2004;2022-11-11 14:46:51:432
-0.3012;3.486;9.1047;-0.2217;2.8286;9.3872;-0.1191;0.2994;1.828;-0.0437;0.3247;0.0948;40.1;-23.31;-44.06;-22.93;146.57;-16.76;1.35;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;2504;2022-11-11 14:46:51:932
-0.0129;4.0837;9.8231;0.2579;4.1282;8.8917;-1.3984;0.5569;1.7964;-0.2143;-0.2617;0.2819;34.6;-20.87;-42.19;-22.8;142.19;-27.08;-0.4;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;3005;2022-11-11 14:46:52:433
-0.7848;3.0562;11.7739;-0.6188;2.0677;9.5662;-0.8627;1.9667;1.054;-0.605;0.5808;0.2879;25.6;-20.03;-32.78;-24.09;141.95;-12.17;3.7;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;3505;2022-11-11 14:46:52:933
-1.142;2.8585;12.798;-0.0677;3.4135;9.1932;-0.9832;-0.8467;4.0526;0.5538;-0.1562;0.2795;18.2;-20.59;-23.72;-24.3;124.81;-18.72;2.59;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;4004;2022-11-11 14:46:53:432
0.0147;1.1234;11.6809;-1.1983;1.7861;9.5679;0.4093;1.6946;0.8239;-1.516;0.3638;-0.4844;20.4;-25.65;-26.31;-23.21;127.51;-10.49;7.14;5.0;35.95847;-83.92461;798.44;NaN;0.0;193.92212;;1 / 5;4504;2022-11-11 14:46:53:932
