sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.8668;3.9589;8.9955;-0.8918;2.7469;9.3718;-0.029;0.9038;-0.9903;-0.6803;-0.5637;-0.3775;29.3;73.13;59.21;95.01;289.2;-18.27;6.91;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 0;4;2022-11-11 14:40:22:843
0.9619;-0.1274;7.8838;1.9154;2.2868;9.342;-1.3913;-1.9794;-0.8825;-0.087;-0.8631;0.775;40.0;67.61;66.39;97.22;309.49;-13.48;-11.59;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 0;504;2022-11-11 14:40:23:343
11.8798;-5.0459;1.36;7.1555;-6.0094;2.976;6.2074;0.3465;-3.9187;1.3693;1.2591;1.0915;42.7;44.72;76.58;114.43;43.94;35.39;-76.23;0.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 1;1004;2022-11-11 14:40:23:843
9.4807;-7.2664;-2.4281;7.6958;-6.0406;-0.675;-1.0928;1.5659;-1.8965;-2.3683;0.434;0.8815;0.0;33.47;97.74;127.78;55.22;38.02;-95.01;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 1;1505;2022-11-11 14:40:24:344
8.7063;0.5797;-3.3811;9.5128;-2.0181;-1.2669;-3.0833;-1.2868;0.046;0.6308;-0.6254;-0.5292;0.0;24.06;80.06;134.68;59.74;10.12;-97.37;0.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 1;2004;2022-11-11 14:40:24:843
8.7993;-9.8426;-2.1921;6.1172;-7.0445;-3.0208;1.2753;-0.678;0.926;-1.4074;-0.4581;2.3327;0.0;15.0;63.36;139.11;77.95;38.79;-109.4;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 1;2504;2022-11-11 14:40:25:343
7.2386;-7.2742;-4.2682;6.075;-7.2826;-2.4957;1.2836;0.4637;-2.2499;-0.4017;0.109;-0.3107;0.0;20.12;90.04;145.39;77.3;49.85;-111.26;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 1;3005;2022-11-11 14:40:25:844
6.8501;-5.9225;-1.4064;6.9207;-6.7557;-1.6231;-1.3471;1.7984;-0.9221;0.1967;0.2344;-0.1947;0.0;24.06;92.81;149.74;68.42;43.54;-103.2;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 1;3504;2022-11-11 14:40:26:343
4.8096;-5.7903;-2.6486;4.965;-8.0008;-2.7396;-0.3899;1.8985;0.7745;-0.1595;-0.1164;0.8166;0.0;24.68;95.57;145.99;77.25;50.55;-114.16;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 2;4004;2022-11-11 14:40:26:843
4.4743;-6.6613;-1.276;5.8321;-7.26;-3.0741;-1.4756;-0.2089;2.8653;-0.0735;-0.0892;-0.5437;0.0;28.48;103.63;149.34;79.35;48.68;-122.39;2.0;35.958714;-83.92416;;NaN;;129.03226;;0 / 2;4504;2022-11-11 14:40:27:343
