sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.1082;5.7069;7.2966;-0.585;5.4323;8.1436;-0.465;0.4186;-0.4844;-0.631;-0.3658;0.473;22.4;21.3;-10.05;-25.41;292.76;-35.38;6.4;2.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;6;2022-10-28 13:55:02:803
-1.6528;3.2701;10.3798;-1.3869;2.8878;9.2686;0.0506;-0.146;1.4322;-0.0953;0.1687;0.6849;22.4;20.57;-12.36;-28.13;261.65;-17.05;8.78;2.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;506;2022-10-28 13:55:03:303
11.4506;-7.049;4.1219;8.5693;-4.097;2.4396;4.2981;-3.8929;1.4605;1.8787;-1.948;3.888;25.1;4.52;-20.46;-33.26;238.94;24.69;-74.11;2.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;1007;2022-10-28 13:55:03:804
10.7845;-9.5118;1.145;8.1694;-5.2473;-1.3776;0.7355;-2.9925;1.2504;-0.2624;0.4352;-0.6447;6.5;-38.18;-19.95;-16.71;213.49;34.68;-100.69;0.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;1506;2022-10-28 13:55:04:303
12.8871;-3.0942;-0.1283;8.8174;-4.2921;0.0274;2.8321;2.6417;0.249;-0.231;-0.1747;0.0752;0.0;-46.87;-29.76;2.4;176.01;26.17;-88.38;0.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;2005;2022-10-28 13:55:04:802
8.7045;-1.5616;-3.8731;8.3238;-4.1986;-3.0425;-3.5927;-0.2753;2.1521;-0.1053;0.8826;-0.4808;0.0;-50.02;-24.6;17.36;185.0;26.62;-113.14;0.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;2506;2022-10-28 13:55:05:303
1.7937;-6.5489;-1.4468;5.3049;-7.9317;-2.2618;-3.3119;-1.065;2.1573;0.3757;0.7076;-0.9132;0.0;-56.38;-3.75;19.52;184.05;53.98;-113.09;2.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;3006;2022-10-28 13:55:05:803
9.4101;-10.0487;-0.574;6.9692;-6.6661;-1.7785;2.5235;-3.7874;1.5787;0.1434;-0.5301;0.3351;0.0;-61.99;3.98;7.65;187.42;42.29;-102.01;2.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;3506;2022-10-28 13:55:06:303
4.4599;-7.5356;-3.236;5.2714;-7.9824;-2.1599;0.4733;-0.2203;-0.5397;0.6738;-0.8357;-0.0411;0.0;-60.73;4.29;5.01;202.33;53.67;-112.13;0.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;4005;2022-10-28 13:55:06:802
4.7148;-5.1245;-1.6842;6.7432;-6.6308;-2.5947;-2.6443;1.171;1.7812;0.0815;0.382;-0.2794;0.0;-61.65;2.44;-5.08;217.57;44.27;-112.73;0.0;35.95832;-83.92443;820.25;NaN;0.0;23.290382;;0 / 0;4506;2022-10-28 13:55:07:303
